# id|日本語名|構成|配色|本体|補助|予備動作|確定命中|本体最大長/半径|幅|高さ|使い道
normal_sweep|通常攻撃一段目|CUT|steel|slash_short|speed_streak|edge_glint|cut_spark|2.1|1.0|1.0|大剣の一段目。短い右から左への振り
normal_reverse|通常攻撃二段目|CUT|steel|slash_reverse|speed_streak|edge_glint|cut_spark|2.2|1.0|1.0|大剣の二段目。前方の左から右へ返す
normal_finish|通常攻撃三段目|CLEAVE|gold|slash_heavy|ground_crack|edge_glint|stone_impact|2.7|1.0|1.0|大剣の三段目。前方へ縦に下ろす
dash|踏み込み斬り|CUT|steel|slash_short|speed_streak|edge_glint|cut_spark|2.1|1.0|1.0|移動後の胸元前方を短く横断する刃。突進距離を刃の長さにしない
slam|地砕き|CLEAVE|gold|slash_heavy|ground_crack|edge_glint|stone_impact|2.7|1.0|1.0|正面の縦斬りと前方地割れ。背後へ振らない
whirl|旋風斬り|SPIN|steel|spin_blade|speed_streak|edge_glint|cut_spark|2.4|1.0|1.0|一回の判定に一周の回転刃。三回は三つの独立した斬撃
war_guard|受け流し|GUARD|steel|parry_blade|edge_glint|edge_glint|cut_spark|0.9|1.0|1.0|一振りの大剣を握り位置から胸前へ起こす。実防御時間保持し最初の12tickだけ刃の光が走る
war_wound|裂傷斬り|CUT|steel|slash_short|blood_notch|edge_glint|cut_spark|1.8|1.0|1.0|素早い斜め斬り。小さな傷跡を確定命中時に表示
war_counter|返し刃|CUT|gold|slash_reverse|speed_streak|edge_glint|cut_spark|2.3|1.0|1.0|横斬りと逆向きの返し。全身を囲う輪にしない
war_cry|雄叫び|SHIELD|gold|roar_wave|shield_arch|cast_spark|light_spark|1.2|1.0|1.0|口元から前後へ三度ずつ抜ける開いた声の波。一回の障壁付与に対応し斬撃や追撃は出さない
war_breach|破城突き|THRUST|steel|thrust_tip|speed_streak|edge_glint|armor_break|2.6|0.8|0.8|移動後の正面への細い刺突。横の刀身や回転は禁止
war_ult|天断|CLEAVE|gold|slash_heavy|ground_crack|edge_glint|stone_impact|3.4|1.2|1.0|三回の垂直叩きつけ。広い当たり判定は薄い地上表示で補足
war_banner|不屈の旗|BANNER|gold|battle_banner|shield_arch|cast_spark|light_spark|1.5|1.0|1.0|金縁の赤い旗を打ち立て布を展開。発動地点で3秒揺れ四方へ金色の吹き流しが一度散る
firebolt|火炎弾|RAY|fire|fire_orb|flame_tail|cast_spark|fire_burst|0.6|0.9|0.9|視線方向の火球と短い炎尾。画面全長を巨大な槍にしない
frost_nova|霜の波紋|NOVA|ice|ice_wave|ice_spike|cast_spark|ice_shatter|3.6|1.0|1.0|足元から全周へ広がる氷の波と低い霜。正面扇ではない
meteor|流星雨|RAIN|fire|meteor_rock|fire_crater|cast_spark|fire_burst|0.9|1.0|1.0|狙った地点の上空から岩塊が落下。各判定に一組の着弾痕
mage_blink|閃光歩|TELEPORT|lightning|lightning_gate|electric_shard|cast_spark|electric_spark|1.0|1.0|1.0|出発点で縮む裂け目と到着点で開く裂け目。斬撃は使わない
mage_mark|雷の刻印|RAY|lightning|lightning_fork|electric_thread|cast_spark|lightning_seal|0.8|0.7|0.7|細い分岐雷と命中した敵の雷印。空振りに印を出さない
mage_garden|氷の庭|FIELD|ice|snowflake|ice_spike|cast_spark|ice_shatter|3.0|1.0|1.0|地面の雪結晶と低い氷柱。攻撃判定の各波に合わせて更新
mage_burst|術式起爆|NOVA|lightning|lightning_burst|electric_shard|lightning_seal|electric_spark|3.6|1.0|1.0|中心の術式が破裂し四方向へ雷片。一本の光線にしない
mage_ward|魔力障壁|SHIELD|lightning|arcane_shield|shield_arch|cast_spark|light_spark|1.0|1.0|1.0|本人の胴を守る魔力板。radiusゼロでも巨大な地面輪を作らない
mage_ult|天火の大術式|RAIN|fire|meteor_crown|fire_crater|fire_seal|fire_burst|1.4|1.0|1.0|大術式の中心へ火冠を落とし放射状の火口。各爆発と同期
mage_zero|絶対零界|NOVA|ice|ice_wave|snowflake|snowflake|ice_shatter|5.0|1.0|1.0|五回の同心霜波。巨大な正面氷槍にしない
pierce|狙い射ち|RAY|hunter|arrow_head|arrow_trail|aim_bracket|arrow_hit|1.0|0.6|0.6|命中線に小さな矢尻と細い弾道。矢全体を射程分伸ばさない
frost_fan|霜矢の扇|FAN|ice|frost_arrow|arrow_trail|aim_bracket|ice_shatter|3.0|0.7|0.7|正面の五本の氷矢。全周の氷柱と区別する
arrow_rain|矢の嵐|RAIN|hunter|rain_arrow|target_reticle|aim_bracket|arrow_hit|1.3|0.6|0.6|指定地点へ複数の下向き矢。魔法の柱にしない
hunt_retreat|後退射撃|RAY|hunter|arrow_head|arrow_trail|aim_bracket|arrow_hit|0.9|0.6|0.6|後退後も発射方向は前方の照準。転移門を出さない
hunt_pierce|貫き矢|RAY|hunter|barbed_arrow|arrow_trail|aim_bracket|arrow_hit|1.4|0.8|0.8|貫通矢尻と最後の対象までの細い線。横の巨大な面は禁止
hunt_trap|狩猟罠|FIELD|venom|trap_jaws|poison_drop|target_reticle|poison_splash|2.0|1.0|1.0|地面の開閉する罠と内側の毒。盾や星の輪を流用しない
hunt_mark|獲物の印|RAY|hunter|mark_arrow|arrow_trail|aim_bracket|hunter_mark|0.8|0.5|0.5|細い印矢。標的マークは確定命中した敵だけ
hunt_volley|速射|RAY|hunter|arrow_head|arrow_trail|aim_bracket|arrow_hit|0.8|0.5|0.5|一回の判定に一発の短い矢。三連射を一本にまとめない
hunt_ult|終の一矢|RAY|hunter|great_arrow|arrow_trail|aim_bracket|arrow_hit|1.8|0.9|0.9|長い構えの照準から一発の強い矢。砲弾や魔法球にしない
hunt_storm|狩場の支配者|RAIN|hunter|barbed_arrow|target_reticle|aim_bracket|arrow_hit|1.5|0.7|0.7|六回の広域矢雨。発生回数はサーバーの攻撃波そのもの
ass_stab|影刺し|THRUST|shadow|dagger_tip|speed_streak|edge_glint|blood_notch|1.6|0.7|0.7|接近後の短剣の刺突。長い大剣にはしない
ass_execute|断命|CUT|shadow|cross_cut|blood_notch|edge_glint|cut_spark|1.8|1.0|1.0|前方の短い二枚刃の切断。一判定に一つの交差斬痕
ass_fan|刃の輪|SPIN|shadow|dagger_fan|speed_streak|edge_glint|cut_spark|2.1|1.0|1.0|腰周りの短剣列が一周。二連撃は二つの回転
ass_escape|影抜け|TELEPORT|shadow|shadow_gate|shadow_wisp|cast_spark|shadow_spark|0.9|1.0|1.0|後方離脱の二地点に裂ける影。振り向きや斬撃は表さない
ass_poison|毒牙|CUT|venom|poison_fang|poison_drop|edge_glint|poison_splash|1.6|1.0|1.0|短い二本の毒刃と緑の滴。毒の継続表示は実DOTに追従
ass_chase|追影|THRUST|shadow|dagger_tip|shadow_wisp|edge_glint|cut_spark|2.0|0.8|0.8|接近先から前方への短い追い突き。移動距離で巨大化しない
ass_needle|影の針|RAY|shadow|shadow_needle|arrow_trail|edge_glint|blood_notch|1.1|0.4|0.4|視線に沿う細い黒紫の針。星核や輪を付けない
ass_guard|残像|AFTERIMAGE|shadow|afterimage|shadow_wisp|cast_spark|shadow_spark|0.8|1.0|1.0|人型の影を本人の背後へずらす。盾として描かない
ass_ult|無明連刃|SPIN|shadow|shadow_claw|dagger_fan|edge_glint|cut_spark|2.5|1.0|1.0|五判定に五回の短い周回斬撃。刃の傾きを交互に変える
ass_contract|死の契約|THRUST|shadow|contract_blade|shadow_wisp|edge_glint|armor_break|2.6|1.0|1.0|接近後の一本の強い刺突と命中点の装甲割れ
temp_mace|裁きの槌|HAMMER|gold|hammer_head|ground_crack|edge_glint|stone_impact|1.8|1.0|1.0|槌頭が正面へ落ちる。剣の三日月は使用しない
temp_pull|集束|PULL|gold|chain_hook|gravity_funnel|cast_spark|light_spark|3.0|1.0|1.0|外周の鉤が本人へ収束。爆発のように外へ飛ばさない
temp_ward|護りの誓い|SHIELD|gold|shield_face|shield_arch|holy_seal|light_spark|1.2|1.0|1.0|本人の胸前の盾面と味方側へ開く防護弧。広い保護範囲は地上の目印で示す
temp_guard|守護の構え|GUARD|gold|shield_face|edge_glint|holy_seal|light_spark|1.1|1.0|1.0|胸の前の縦盾。構え時間だけ本人に追従
temp_rebuke|報復|NOVA|gold|shield_wave|ground_crack|holy_seal|stone_impact|3.0|1.0|1.0|足元から四分割の衝撃波が放射。地面へ巨大な盾の板を寝かせない
temp_field|封鎖線|FIELD|gold|holy_seal|seal_pillar|holy_seal|light_spark|3.2|1.0|1.0|指定地点の地上封印と四本の低い境界柱
temp_break|破魔槌|HAMMER|gold|hammer_break|ground_crack|edge_glint|armor_break|2.1|1.0|1.0|割れた刃縁の槌を振り下ろし確定命中で装甲破壊片
temp_dash|援護突進|THRUST|gold|shield_bash|speed_streak|holy_seal|stone_impact|1.8|1.0|1.0|移動後の前方へ盾を押し出す。刺す槍と区別
temp_ult|空間圧縮|PULL|gold|chain_hook|gravity_funnel|holy_seal|light_spark|4.5|1.0|1.0|三回の内向き圧縮。外周から中心へ実際に動く鉤と収縮環
temp_sanctuary|不落の聖域|SHIELD|gold|sanctum_gate|shield_arch|holy_seal|light_spark|1.6|1.0|1.0|頭上を塞がない聖堂状の防護壁と外へ広がる弧
heal_light|裁きの光|RAY|holy|holy_ray|light_thread|cast_spark|light_spark|1.1|0.6|0.6|細い聖光と命中点の光片。星の針とは形も色も別
