# name	ordinal	advance16	advance32	advance48
EXPEDITION	0	16	31	46
FORGE	1	16	30	45
STORAGE	2	16	30	45
GEAR	3	16	30	45
GATHER	4	17	32	48
HELP	5	15	29	43
TRIAL	6	16	31	46
RETURN	7	15	29	43
ENHANCE	8	16	31	46
REFINE	9	15	29	43
CRAFT	10	16	30	45
MOD	11	15	29	43
WEAPON	12	16	30	45
ARMOR	13	16	31	46
WOOD	14	16	31	46
ORE	15	16	30	45
STONE	16	16	31	46
HIDE	17	16	31	46
FIBER	18	16	30	45
PLANK	19	16	31	46
INGOT	20	16	31	46
CUT_STONE	21	16	31	46
LEATHER	22	16	30	45
CLOTH	23	16	31	46
POTION	24	15	28	42
TABLET	25	15	29	43
ORB	26	15	29	43
BOSS	27	16	31	46
SHARD	28	15	28	42
ARROW	29	16	31	46
ARCANE	30	16	30	45
