# codepoint	private glyph	advance; generated by build_core_menu_assets.py
20	E800	4
21	E801	4
22	E802	4
23	E803	5
24	E804	5
25	E805	6
26	E806	6
27	E807	4
28	E808	5
29	E809	3
2A	E80A	5
2B	E80B	5
2C	E80C	3
2D	E80D	5
2E	E80E	3
2F	E80F	5
30	E810	5
31	E811	4
32	E812	5
33	E813	5
34	E814	6
35	E815	5
36	E816	5
37	E817	5
38	E818	5
39	E819	5
3A	E81A	4
3B	E81B	4
3C	E81C	5
3D	E81D	5
3E	E81E	5
3F	E81F	6
40	E820	6
41	E821	5
42	E822	5
43	E823	5
44	E824	5
45	E825	5
46	E826	5
47	E827	5
48	E828	5
49	E829	4
4A	E82A	5
4B	E82B	5
4C	E82C	5
4D	E82D	5
4E	E82E	5
4F	E82F	5
50	E830	5
51	E831	5
52	E832	5
53	E833	5
54	E834	5
55	E835	5
56	E836	5
57	E837	5
58	E838	5
59	E839	5
5A	E83A	5
5B	E83B	5
5C	E83C	5
5D	E83D	3
5E	E83E	5
5F	E83F	6
60	E840	4
61	E841	5
62	E842	5
63	E843	5
64	E844	5
65	E845	5
66	E846	5
67	E847	5
68	E848	5
69	E849	4
6A	E84A	4
6B	E84B	5
6C	E84C	4
6D	E84D	5
6E	E84E	5
6F	E84F	5
70	E850	5
71	E851	5
72	E852	5
73	E853	5
74	E854	5
75	E855	5
76	E856	5
77	E857	5
78	E858	5
79	E859	5
7A	E85A	5
7B	E85B	5
7C	E85C	4
7D	E85D	4
7E	E85E	5
B1	E85F	5
B7	E860	4
D7	E861	6
F7	E862	6
2026	E863	8
2190	E864	9
2191	E865	7
2192	E866	9
2193	E867	7
25A1	E868	9
3000	E869	10
3001	E86A	3
3002	E86B	4
300C	E86C	8
300D	E86D	4
300E	E86E	8
300F	E86F	5
3010	E870	8
3011	E871	5
301C	E872	9
3041	E873	8
3042	E874	9
3043	E875	8
3044	E876	9
3045	E877	8
3046	E878	8
3047	E879	8
3048	E87A	9
3049	E87B	9
304A	E87C	9
304B	E87D	9
304C	E87E	9
304D	E87F	8
304E	E880	9
304F	E881	8
3050	E882	9
3051	E883	9
3052	E884	9
3053	E885	8
3054	E886	9
3055	E887	8
3056	E888	9
3057	E889	8
3058	E88A	8
3059	E88B	9
305A	E88C	9
305B	E88D	9
305C	E88E	9
305D	E88F	9
305E	E890	9
305F	E891	9
3060	E892	9
3061	E893	8
3062	E894	9
3063	E895	8
3064	E896	9
3065	E897	9
3066	E898	9
3067	E899	9
3068	E89A	8
3069	E89B	9
306A	E89C	9
306B	E89D	8
306C	E89E	9
306D	E89F	9
306E	E8A0	9
306F	E8A1	9
3070	E8A2	9
3071	E8A3	9
3072	E8A4	9
3073	E8A5	9
3074	E8A6	9
3075	E8A7	9
3076	E8A8	9
3077	E8A9	9
3078	E8AA	9
3079	E8AB	9
307A	E8AC	9
307B	E8AD	9
307C	E8AE	9
307D	E8AF	9
307E	E8B0	8
307F	E8B1	9
3080	E8B2	9
3081	E8B3	9
3082	E8B4	9
3083	E8B5	8
3084	E8B6	9
3085	E8B7	8
3086	E8B8	9
3087	E8B9	8
3088	E8BA	9
3089	E8BB	8
308A	E8BC	8
308B	E8BD	8
308C	E8BE	9
308D	E8BF	9
308E	E8C0	8
308F	E8C1	9
3090	E8C2	9
3091	E8C3	9
3092	E8C4	9
3093	E8C5	9
3094	E8C6	9
3095	E8C7	8
3096	E8C8	8
30A1	E8C9	8
30A2	E8CA	9
30A3	E8CB	8
30A4	E8CC	9
30A5	E8CD	8
30A6	E8CE	8
30A7	E8CF	8
30A8	E8D0	9
30A9	E8D1	8
30AA	E8D2	9
30AB	E8D3	8
30AC	E8D4	9
30AD	E8D5	9
30AE	E8D6	9
30AF	E8D7	8
30B0	E8D8	9
30B1	E8D9	9
30B2	E8DA	9
30B3	E8DB	8
30B4	E8DC	9
30B5	E8DD	9
30B6	E8DE	9
30B7	E8DF	9
30B8	E8E0	9
30B9	E8E1	9
30BA	E8E2	9
30BB	E8E3	9
30BC	E8E4	9
30BD	E8E5	8
30BE	E8E6	9
30BF	E8E7	9
30C0	E8E8	9
30C1	E8E9	9
30C2	E8EA	9
30C3	E8EB	8
30C4	E8EC	9
30C5	E8ED	9
30C6	E8EE	9
30C7	E8EF	9
30C8	E8F0	8
30C9	E8F1	8
30CA	E8F2	9
30CB	E8F3	8
30CC	E8F4	9
30CD	E8F5	9
30CE	E8F6	8
30CF	E8F7	9
30D0	E8F8	9
30D1	E8F9	9
30D2	E8FA	8
30D3	E8FB	9
30D4	E8FC	9
30D5	E8FD	8
30D6	E8FE	9
30D7	E8FF	9
30D8	E900	9
30D9	E901	9
30DA	E902	9
30DB	E903	9
30DC	E904	9
30DD	E905	9
30DE	E906	9
30DF	E907	8
30E0	E908	9
30E1	E909	8
30E2	E90A	9
